Encampment_Name,Location,Geography,Num_of_Ppl
West Loop Viaduct,Lake and Clinton,"41.885774, -87.641374",22
Lower Wacker Drive ,Wacker and Columbus,"41.888132, -87.621951",168
Lake Shore Drive Viaduct--Uptown,Lawrence and Lake Shore Drive,"41.969381, -87.648044",10
Ruble/Desplaines/Dan Ryan/Taylor,290 and Harrison,"41.872784, -87.815049",50
Lake Shore Drive Viaduct--Edgewater,Foster and Lake Shore Drive,"41.976542, -87.650477",5
Belmont and Kedzie,Belmont and Kedzie,"41.939501, -87.707722",15
tent city UIC,des plaines street & roosevelt avenue ,"41.867701, -87.643894",12
tent city canal,canal port & union ,"41.837612, -87.611947",12
Addison,Addison & lake shore drive,,2
,irving park & kennedy,,4
,north & california,,12
,chicago & kedzie,,15
