﻿Encampment_Name,Latitude,Longitude,Num_Ppl,,
West Loop Viaduct,41.885774,-87.641374,22,,
Lower Wacker Drive,41.888007,-87.621669,168,,
Lake Shore Drive Viaduct--Uptown,41.969381,-87.648044,10,,
Lake Shore Drive Viaduct--Edgewater,41.976542,-87.650477,10,,
Lower Wacker Drive,41.888132,-87.621951,168,,
Lake Shore Drive Viaduct,41.969381,-87.648044,5,,
"Ruble/Desplaines/Dan Ryan/Taylor,290 and Harrison",41.869895,-87.773532,50,,
Belmont and Kedzie,41.939501,-87.707722,15,,
Irving park and kennedy,41.953745,-87.729948,5,,
Kedzie and Chicago Ave and Sacramento,41.895567,-87.704338,20,,
North Ave and California,41.910042,-87.697349,10,,
Off 290/90,41.868897,-87.643971,10,,
