month_year,City,Count,per_cent
10/1/2021,Chicago,1500,0
10/1/2021,NYC,4500,200
10/1/2021,Philadelphia,520,-88.44444444
10/1/2021,Washington DC,8700,1573.076923
3/1/2021,Chicago,2400,0
3/1/2021,NYC,7500,212.5
3/1/2021,Washington DC,16700,122.6666667
4/1/2021,Chicago,1100,0
4/1/2021,NYC,3500,218.1818182
4/1/2021,Washington DC,8300,137.1428571
9/1/2021,Chicago,1500,0
9/1/2021,NYC,4900,226.6666667
9/1/2021,Philadelphia,600,-87.75510204
9/1/2021,Washington DC,9000,1400
10/1/2022,Chicago,1640,0
10/1/2022,NYC,5600,241.4634146
10/1/2022,Washington DC,16200,189.2857143
11/1/2022,Chicago,3100,0
11/1/2022,NYC,10100,225.8064516
11/1/2022,Washington DC,24600,143.5643564
12/1/2022,Chicago,920,0
12/1/2022,NYC,3100,236.9565217
12/1/2022,Washington DC,8200,164.516129
2/1/2022,Chicago,28000,0
2/1/2022,Denver,13800,-50.71428571
2/1/2022,LA,1300,-90.57971014
2/1/2022,NYC,33600,2484.615385
2/1/2022,Philadelphia,3400,-89.88095238
2/1/2022,Washington DC,12500,267.6470588
3/1/2022,Chicago,92700,0
3/1/2022,Denver,38800,-58.14455232
3/1/2022,LA,4600,-88.1443299
3/1/2022,NYC,113700,2371.73913
3/1/2022,Philadelphia,13100,-88.47845207
3/1/2022,Washington DC,50000,281.6793893
1/1/2023,Chicago,123200,0
1/1/2023,Denver,63200,-48.7012987
1/1/2023,LA,5900,-90.66455696
1/1/2023,NYC,148400,2415.254237
1/1/2023,Philadelphia,13600,-90.83557951
1/1/2023,Washington DC,50000,267.6470588
10/1/2023,Chicago,27000,0
10/1/2023,Denver,5300,-80.37037037
10/1/2023,LA,1910,-63.96226415
10/1/2023,NYC,45400,2276.963351
10/1/2023,Philadelphia,9000,-80.17621145
10/1/2023,Washington DC,35600,295.5555556
11/1/2023,Chicago,58400,0
11/1/2023,Denver,13800,-76.36986301
11/1/2023,LA,3840,-72.17391304
11/1/2023,NYC,86200,2144.791667
11/1/2023,Philadelphia,14700,-82.94663573
11/1/2023,Washington DC,60100,308.8435374
12/1/2023,Chicago,58000,0
12/1/2023,Denver,25000,-56.89655172
12/1/2023,LA,4400,-82.4
12/1/2023,NYC,93400,2022.727273
12/1/2023,Philadelphia,12800,-86.29550321
12/1/2023,Washington DC,50000,290.625
2/1/2023,Chicago,35900,0
2/1/2023,Denver,16200,-54.87465181
2/1/2023,LA,1500,-90.74074074
2/1/2023,NYC,53400,3460
2/1/2023,Philadelphia,6070,-88.6329588
2/1/2023,Washington DC,39800,555.6836903
3/1/2023,Chicago,6000,0
3/1/2023,NYC,20500,241.6666667
3/1/2023,Philadelphia,3510,-82.87804878
3/1/2023,Washington DC,36400,937.037037
6/1/2023,Chicago,1900,0
6/1/2023,Denver,40,-97.89473684
6/1/2023,NYC,6700,16650
6/1/2023,Philadelphia,1000,-85.07462687
6/1/2023,Washington DC,9400,840
7/1/2023,Chicago,10100,0
7/1/2023,Denver,690,-93.16831683
7/1/2023,LA,80,-88.4057971
7/1/2023,NYC,32400,40400
7/1/2023,Philadelphia,6100,-81.17283951
7/1/2023,Washington DC,39600,549.1803279
8/1/2023,Chicago,8400,0
8/1/2023,Denver,650,-92.26190476
8/1/2023,LA,160,-75.38461538
8/1/2023,NYC,20800,12900
8/1/2023,Philadelphia,4000,-80.76923077
8/1/2023,Washington DC,21000,425
9/1/2023,Chicago,23200,0
9/1/2023,Denver,2470,-89.35344828
9/1/2023,LA,1120,-54.65587045
9/1/2023,NYC,54500,4766.071429
9/1/2023,Philadelphia,10400,-80.91743119
9/1/2023,Washington DC,53400,413.4615385
1/1/2024,Chicago,91700,0
1/1/2024,Denver,46900,-48.85496183
1/1/2024,LA,4400,-90.61833689
1/1/2024,NYC,110500,2411.363636
1/1/2024,Philadelphia,10200,-90.76923077
1/1/2024,Washington DC,37500,267.6470588
2/1/2024,Chicago,62900,0
2/1/2024,Denver,32500,-48.33068362
2/1/2024,LA,3000,-90.76923077
2/1/2024,NYC,75700,2423.333333
2/1/2024,Philadelphia,6800,-91.01717305
2/1/2024,Washington DC,25000,267.6470588
