Location,Responses,Year,Latitude,Longitude,geometry
"The Loop, River North",170,2023,41.89248568824814,-87.634044880516,"c(-87.634044880516, 41.8924856882481)"
CTA - Red Line (95th/Dan Ryan),125,2023,41.72258849002998,-87.62443385767142,"c(-87.6244338576714, 41.72258849003)"
CTA - Blue Line (Forest Park),118,2023,41.87370675013457,-87.81697954232854,"c(-87.8169795423285, 41.8737067501346)"
Near West Side/Medical District,112,2023,41.86883204433447,-87.67398565436856,"c(-87.6739856543686, 41.8688320443345)"
CTA - Blue Line (Cumberland/Rosemont),71,2023,41.98388346532085,-87.83862460424264,"c(-87.8386246042426, 41.9838834653209)"
North Side,58,2023,41.90389519059428,-87.63211612952345,"c(-87.6321161295235, 41.9038951905943)"
CTA - Red Line,54,2023,41.889900182393696,-87.62808780459785,"c(-87.6280878045979, 41.8899001823937)"
South Side (East of State),38,2023,41.75042676688248,-87.63411546128873,"c(-87.6341154612887, 41.7504267668825)"
O'Hare Airport,33,2023,41.98037675551297,-87.90900606226334,"c(-87.9090060622633, 41.980376755513)"
South Side (West of State),29,2023,41.75042676688248,-87.63411546128873,"c(-87.6341154612887, 41.7504267668825)"
CTA - Red Line (Howard),13,2023,42.018896202733814,-87.67255656226084,"c(-87.6725565622608, 42.0188962027338)"
"West Town, Kennedy Expressway",13,2023,41.95930482218085,-87.74088846041468,"c(-87.7408884604147, 41.9593048221808)"
Midway Airport Terminal,12,2023,41.78852626097361,-87.74167007391868,"c(-87.7416700739187, 41.7885262609736)"
Northwest Side,2,2023,41.88530874443534,-87.79271259245185,"c(-87.7927125924518, 41.8853087444353)"
CTA - Blue Line (Forest Park),175,2022,41.87370675013457,-87.81697954232854,"c(-87.8169795423285, 41.8737067501346)"
CTA - Red Line (95th/Dan Ryan),174,2022,41.72258849002998,-87.62443385767142,"c(-87.6244338576714, 41.72258849003)"
CTA - Red Line (Howard),141,2022,42.018896202733814,-87.67255656226084,"c(-87.6725565622608, 42.0188962027338)"
Near West Side/Medical District,82,2022,41.86883204433447,-87.67398565436856,"c(-87.6739856543686, 41.8688320443345)"
"The Loop, River North",65,2022,41.89248568824814,-87.634044880516,"c(-87.634044880516, 41.8924856882481)"
North Side,49,2022,41.90389519059428,-87.63211612952345,"c(-87.6321161295235, 41.9038951905943)"
"West Town, Kennedy Expressway",35,2022,41.95930482218085,-87.74088846041468,"c(-87.7408884604147, 41.9593048221808)"
CTA - Blue Line (Cumberland/Rosemont),32,2022,41.98388346532085,-87.83862460424264,"c(-87.8386246042426, 41.9838834653209)"
CTA - Red Line,32,2022,41.889900182393696,-87.62808780459785,"c(-87.6280878045979, 41.8899001823937)"
Stevenson Expressway (Archer/Canalport),13,2022,41.84805,-87.63485,"c(-87.63485, 41.84805)"
O'Hare Airport,10,2022,41.98037675551297,-87.90900606226334,"c(-87.9090060622633, 41.980376755513)"
