Year,Sheltered_Count,Sheltered_PercentChange,Unsheltered_Count,Unsheltered_PercentChange,Total_Count,Total_PercentChange
2023,202,-0.5,115,-3.3,317,-1.6
2022,203,18.7,119,9.4,322,8.3
2021,171,-40.2,77,5.3,248,5.5
2020,286,2.5,201,13.3,487,11.4
2019,279,-5.7,120,11.9,399,10.6
2018,296,-2.6,198,14.6,494,11.7
2017,304,-23.8,245,15.7,549,12.2
2016,399,15.3,202,16.4,601,13.2
2015,346,-25.6,406,19.2,752,14.9
2014,465,14.5,256,26.8,721,16
2013,406,50.4,306,25.5,712,15.5
2012,270,8,NA,NA,NA,NA
2011,250,3.3,250,15.1,500,10.1
2009,242,NA,115,14.1,357,9.2
2007,NA,NA,NA,18.4,NA,15.4
2005,NA,NA,NA,16,NA,11
