"","month_year","City","Count","per_cent"
"1",2021-10-01,"Chicago",1500,0
"2",2021-10-01,"NYC",4500,200
"3",2021-10-01,"Philadelphia",520,-88.4444444444444
"4",2021-10-01,"Washington DC",8700,1573.07692307692
"5",2021-03-01,"Chicago",2400,0
"6",2021-03-01,"NYC",7500,212.5
"7",2021-03-01,"Washington DC",16700,122.666666666667
"8",2021-04-01,"Chicago",1100,0
"9",2021-04-01,"NYC",3500,218.181818181818
"10",2021-04-01,"Washington DC",8300,137.142857142857
"11",2021-09-01,"Chicago",1500,0
"12",2021-09-01,"NYC",4900,226.666666666667
"13",2021-09-01,"Philadelphia",600,-87.7551020408163
"14",2021-09-01,"Washington DC",9000,1400
"15",2022-10-01,"Chicago",1640,0
"16",2022-10-01,"NYC",5600,241.463414634146
"17",2022-10-01,"Washington DC",16200,189.285714285714
"18",2022-11-01,"Chicago",3100,0
"19",2022-11-01,"NYC",10100,225.806451612903
"20",2022-11-01,"Washington DC",24600,143.564356435644
"21",2022-12-01,"Chicago",920,0
"22",2022-12-01,"NYC",3100,236.95652173913
"23",2022-12-01,"Washington DC",8200,164.516129032258
"24",2022-02-01,"Chicago",28000,0
"25",2022-02-01,"Denver",13800,-50.7142857142857
"26",2022-02-01,"LA",1300,-90.5797101449275
"27",2022-02-01,"NYC",33600,2484.61538461538
"28",2022-02-01,"Philadelphia",3400,-89.8809523809524
"29",2022-02-01,"Washington DC",12500,267.647058823529
"30",2022-03-01,"Chicago",92700,0
"31",2022-03-01,"Denver",38800,-58.1445523193096
"32",2022-03-01,"LA",4600,-88.1443298969072
"33",2022-03-01,"NYC",113700,2371.73913043478
"34",2022-03-01,"Philadelphia",13100,-88.4784520668426
"35",2022-03-01,"Washington DC",50000,281.679389312977
"36",2023-01-01,"Chicago",123200,0
"37",2023-01-01,"Denver",63200,-48.7012987012987
"38",2023-01-01,"LA",5900,-90.6645569620253
"39",2023-01-01,"NYC",148400,2415.25423728814
"40",2023-01-01,"Philadelphia",13600,-90.8355795148248
"41",2023-01-01,"Washington DC",50000,267.647058823529
"42",2023-10-01,"Chicago",27000,0
"43",2023-10-01,"Denver",5300,-80.3703703703704
"44",2023-10-01,"LA",1910,-63.9622641509434
"45",2023-10-01,"NYC",45400,2276.96335078534
"46",2023-10-01,"Philadelphia",9000,-80.1762114537445
"47",2023-10-01,"Washington DC",35600,295.555555555556
"48",2023-11-01,"Chicago",58400,0
"49",2023-11-01,"Denver",13800,-76.3698630136986
"50",2023-11-01,"LA",3840,-72.1739130434783
"51",2023-11-01,"NYC",86200,2144.79166666667
"52",2023-11-01,"Philadelphia",14700,-82.9466357308585
"53",2023-11-01,"Washington DC",60100,308.843537414966
"54",2023-12-01,"Chicago",58000,0
"55",2023-12-01,"Denver",25000,-56.8965517241379
"56",2023-12-01,"LA",4400,-82.4
"57",2023-12-01,"NYC",93400,2022.72727272727
"58",2023-12-01,"Philadelphia",12800,-86.2955032119914
"59",2023-12-01,"Washington DC",50000,290.625
"60",2023-02-01,"Chicago",35900,0
"61",2023-02-01,"Denver",16200,-54.874651810585
"62",2023-02-01,"LA",1500,-90.7407407407407
"63",2023-02-01,"NYC",53400,3460
"64",2023-02-01,"Philadelphia",6070,-88.6329588014981
"65",2023-02-01,"Washington DC",39800,555.683690280066
"66",2023-03-01,"Chicago",6000,0
"67",2023-03-01,"NYC",20500,241.666666666667
"68",2023-03-01,"Philadelphia",3510,-82.8780487804878
"69",2023-03-01,"Washington DC",36400,937.037037037037
"70",2023-06-01,"Chicago",1900,0
"71",2023-06-01,"Denver",40,-97.8947368421053
"72",2023-06-01,"NYC",6700,16650
"73",2023-06-01,"Philadelphia",1000,-85.0746268656716
"74",2023-06-01,"Washington DC",9400,840
"75",2023-07-01,"Chicago",10100,0
"76",2023-07-01,"Denver",690,-93.1683168316832
"77",2023-07-01,"LA",80,-88.4057971014493
"78",2023-07-01,"NYC",32400,40400
"79",2023-07-01,"Philadelphia",6100,-81.1728395061728
"80",2023-07-01,"Washington DC",39600,549.180327868852
"81",2023-08-01,"Chicago",8400,0
"82",2023-08-01,"Denver",650,-92.2619047619048
"83",2023-08-01,"LA",160,-75.3846153846154
"84",2023-08-01,"NYC",20800,12900
"85",2023-08-01,"Philadelphia",4000,-80.7692307692308
"86",2023-08-01,"Washington DC",21000,425
"87",2023-09-01,"Chicago",23200,0
"88",2023-09-01,"Denver",2470,-89.3534482758621
"89",2023-09-01,"LA",1120,-54.6558704453441
"90",2023-09-01,"NYC",54500,4766.07142857143
"91",2023-09-01,"Philadelphia",10400,-80.9174311926605
"92",2023-09-01,"Washington DC",53400,413.461538461539
"93",2024-01-01,"Chicago",91700,0
"94",2024-01-01,"Denver",46900,-48.8549618320611
"95",2024-01-01,"LA",4400,-90.6183368869936
"96",2024-01-01,"NYC",110500,2411.36363636364
"97",2024-01-01,"Philadelphia",10200,-90.7692307692308
"98",2024-01-01,"Washington DC",37500,267.647058823529
"99",2024-02-01,"Chicago",62900,0
"100",2024-02-01,"Denver",32500,-48.3306836248013
"101",2024-02-01,"LA",3000,-90.7692307692308
"102",2024-02-01,"NYC",75700,2423.33333333333
"103",2024-02-01,"Philadelphia",6800,-91.0171730515192
"104",2024-02-01,"Washington DC",25000,267.647058823529
